no_instances,no_subproblems_performed
0,0
1,15
2,17
3,22
4,22
5,25
6,27
7,27
8,28
9,29
10,29
11,31
12,31
13,32
14,33
15,33
16,34
17,35
18,37
19,37
20,38
21,38
22,39
23,40
24,40
25,40
26,40
27,42
28,43
29,44
30,45
31,46
32,48
33,50
34,50
35,50
36,50
37,52
38,52
39,52
40,53
41,53
42,53
43,56
44,58
45,59
46,59
47,59
48,62
49,62
50,63
51,63
52,66
53,66
54,66
55,68
56,70
57,70
58,71
59,72
60,73
61,74
62,75
63,76
64,79
65,79
66,80
67,80
68,83
69,83
70,84
71,86
72,89
73,90
74,91
75,93
76,94
77,98
78,100
79,103
80,104
81,106
82,107
83,108
84,114
85,121
86,123
87,124
88,134
89,135
90,149
91,153
92,154
93,158
94,163
95,169
96,208
97,219
98,266
99,315
100,462
100,765
