no_instances,no_subproblems_performed
0,0
1,12
2,17
3,22
4,22
5,25
6,25
7,27
8,28
9,29
10,29
11,30
12,31
13,32
14,33
15,33
16,33
17,33
18,34
19,34
20,34
21,35
22,37
23,37
24,37
25,38
26,38
27,40
28,40
29,40
30,41
31,41
32,42
33,42
34,44
35,45
36,45
37,49
38,50
39,50
40,50
41,53
42,54
43,54
44,55
45,56
46,56
47,56
48,57
49,58
50,59
51,61
52,62
53,62
54,63
55,66
56,68
57,71
58,71
59,73
60,76
61,76
62,77
63,78
64,78
65,79
66,80
67,82
68,82
69,83
70,84
71,85
72,88
73,96
74,97
75,100
76,102
77,109
78,110
79,110
80,111
81,114
82,116
83,122
84,130
85,133
86,136
87,144
88,146
89,149
90,162
91,183
92,193
93,193
94,277
95,305
96,306
97,324
98,325
99,362
100,380
100,765
